match,home_team,away_team,home_goals,away_goals,result
237,Wolverhampton Wanderers FC,Aston Villa FC,1,1,3
238,West Ham United FC,Newcastle United FC,2,2,3
239,Brighton & Hove Albion FC,Liverpool FC,2,2,3
240,Sheffield United FC,Manchester United FC,1,2,2
241,Chelsea FC,Arsenal FC,2,2,3
242,Nottingham Forest FC,Luton Town FC,2,2,3
243,Newcastle United FC,Crystal Palace FC,4,0,1
244,Manchester City FC,Brighton & Hove Albion FC,2,1,1
245,Brentford FC,Burnley FC,3,0,1
246,AFC Bournemouth,Wolverhampton Wanderers FC,1,2,2
247,Liverpool FC,Everton FC,2,0,1
248,Aston Villa FC,West Ham United FC,4,1,1
249,Tottenham Hotspur FC,Fulham FC,2,0,1
250,Crystal Palace FC,Tottenham Hotspur FC,1,2,2
251,Wolverhampton Wanderers FC,Newcastle United FC,2,2,3
252,AFC Bournemouth,Burnley FC,2,1,1
253,Arsenal FC,Sheffield United FC,5,0,1
254,Chelsea FC,Brentford FC,0,2,2
255,Manchester United FC,Manchester City FC,0,3,2
256,Liverpool FC,Nottingham Forest FC,3,0,1
257,Brighton & Hove Albion FC,Fulham FC,1,1,3
258,Aston Villa FC,Luton Town FC,3,1,1
259,West Ham United FC,Everton FC,0,1,1
260,Newcastle United FC,Arsenal FC,1,0,1
261,Sheffield United FC,Wolverhampton Wanderers FC,2,1,1
262,Manchester City FC,AFC Bournemouth,6,1,1
263,Everton FC,Brighton & Hove Albion FC,1,1,3
264,Brentford FC,West Ham United FC,3,2,1
265,Burnley FC,Crystal Palace FC,0,2,2
266,Fulham FC,Manchester United FC,0,1,2
267,Luton Town FC,Liverpool FC,1,1,3
268,Nottingham Forest FC,Aston Villa FC,2,0,1
269,Tottenham Hotspur FC,Chelsea FC,1,4,2
270,AFC Bournemouth,Newcastle United FC,2,0,1
271,Manchester United FC,Luton Town FC,1,0,1
272,Crystal Palace FC,Everton FC,2,3,2
273,Arsenal FC,Burnley FC,3,1,1
274,Wolverhampton Wanderers FC,Tottenham Hotspur FC,2,1,1
275,Chelsea FC,Manchester City FC,4,4,3
276,West Ham United FC,Nottingham Forest FC,3,2,1
277,Liverpool FC,Brentford FC,3,0,1
278,Brighton & Hove Albion FC,Sheffield United FC,1,1,3
279,Aston Villa FC,Fulham FC,3,1,1
280,Brentford FC,Arsenal FC,0,1,2
281,Sheffield United FC,AFC Bournemouth,1,3,2
282,Nottingham Forest FC,Brighton & Hove Albion FC,2,3,2
283,Newcastle United FC,Chelsea FC,4,1,1
284,Luton Town FC,Crystal Palace FC,2,1,1
285,Burnley FC,West Ham United FC,1,2,2
286,Manchester City FC,Liverpool FC,1,1,3
287,Everton FC,Manchester United FC,0,3,2
288,Tottenham Hotspur FC,Aston Villa FC,1,2,2
289,Fulham FC,Wolverhampton Wanderers FC,3,2,1
290,Newcastle United FC,Manchester United FC,1,0,1
291,Nottingham Forest FC,Everton FC,0,1,2
292,Burnley FC,Sheffield United FC,5,0,1
293,Brentford FC,Luton Town FC,3,1,1
294,Arsenal FC,Wolverhampton Wanderers FC,2,1,1
295,Manchester City FC,Tottenham Hotspur FC,3,3,3
296,West Ham United FC,Crystal Palace FC,1,1,3
297,Liverpool FC,Fulham FC,4,3,1
298,Chelsea FC,Brighton & Hove Albion FC,3,2,1
299,AFC Bournemouth,Aston Villa FC,2,2,3
300,Luton Town FC,Arsenal FC,3,4,2
301,Wolverhampton Wanderers FC,Burnley FC,1,0,1
302,Manchester United FC,Chelsea FC,2,1,1
303,Aston Villa FC,Manchester City FC,1,0,1
304,Sheffield United FC,Liverpool FC,0,2,2
305,Fulham FC,Nottingham Forest FC,5,0,1
306,Crystal Palace FC,AFC Bournemouth,0,2,2
307,Brighton & Hove Albion FC,Brentford FC,2,1,1
308,Tottenham Hotspur FC,West Ham United FC,1,2,2
309,Everton FC,Newcastle United FC,3,0,1
310,Aston Villa FC,Arsenal FC,1,0,1
311,Wolverhampton Wanderers FC,Nottingham Forest FC,1,1,3
312,Sheffield United FC,Brentford FC,1,0,1
313,Manchester United FC,AFC Bournemouth,0,3,2
314,Brighton & Hove Albion FC,Burnley FC,1,1,3
315,Crystal Palace FC,Liverpool FC,1,2,2
316,Tottenham Hotspur FC,Newcastle United FC,4,1,1
317,Luton Town FC,Manchester City FC,1,2,2
318,Fulham FC,West Ham United FC,5,0,1
319,Everton FC,Chelsea FC,2,0,1
320,Nottingham Forest FC,Tottenham Hotspur FC,0,2,2
321,Burnley FC,Everton FC,0,2,2
322,Newcastle United FC,Fulham FC,3,0,1
323,Manchester City FC,Crystal Palace FC,2,2,3
324,Chelsea FC,Sheffield United FC,2,0,1
325,Liverpool FC,Manchester United FC,0,0,3
326,West Ham United FC,Wolverhampton Wanderers FC,3,0,1
327,Brentford FC,Aston Villa FC,1,2,2
328,Arsenal FC,Brighton & Hove Albion FC,2,0,1
329,Crystal Palace FC,Brighton & Hove Albion FC,1,1,3
330,Aston Villa FC,Sheffield United FC,1,1,3
331,Liverpool FC,Arsenal FC,1,1,3
332,Tottenham Hotspur FC,Everton FC,2,1,1
333,Nottingham Forest FC,AFC Bournemouth,2,3,2
334,Luton Town FC,Newcastle United FC,1,0,1
335,Fulham FC,Burnley FC,0,2,2
336,West Ham United FC,Manchester United FC,2,0,1
337,Wolverhampton Wanderers FC,Chelsea FC,2,1,1
338,Manchester United FC,Aston Villa FC,3,2,1
339,Burnley FC,Liverpool FC,0,2,2
340,Sheffield United FC,Luton Town FC,2,3,2
341,AFC Bournemouth,Fulham FC,3,0,1
342,Newcastle United FC,Nottingham Forest FC,1,3,2
343,Everton FC,Manchester City FC,1,3,2
344,Chelsea FC,Crystal Palace FC,2,1,1
345,Brentford FC,Wolverhampton Wanderers FC,1,4,2
346,Arsenal FC,West Ham United FC,0,2,2
347,Brighton & Hove Albion FC,Tottenham Hotspur FC,4,2,1
348,Nottingham Forest FC,Manchester United FC,2,1,1
349,Wolverhampton Wanderers FC,Everton FC,3,0,1
350,Manchester City FC,Sheffield United FC,2,0,1
351,Crystal Palace FC,Brentford FC,3,1,1
352,Aston Villa FC,Burnley FC,3,2,1
353,Luton Town FC,Chelsea FC,2,3,2
354,Tottenham Hotspur FC,AFC Bournemouth,3,1,1
355,Fulham FC,Arsenal FC,2,1,1
356,Liverpool FC,Newcastle United FC,4,2,1
357,West Ham United FC,Brighton & Hove Albion FC,0,0,3
358,Burnley FC,Luton Town FC,1,1,3
359,Newcastle United FC,Manchester City FC,2,3,2
360,Chelsea FC,Fulham FC,1,0,1
361,Manchester United FC,Tottenham Hotspur FC,2,2,3
362,Everton FC,Aston Villa FC,0,0,3
363,Brentford FC,Nottingham Forest FC,3,2,1
364,Arsenal FC,Crystal Palace FC,5,0,1
365,AFC Bournemouth,Liverpool FC,0,4,2
366,Sheffield United FC,West Ham United FC,2,2,3
367,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,0,0,3
368,Aston Villa FC,Newcastle United FC,1,3,2
369,Crystal Palace FC,Sheffield United FC,3,2,1
370,Luton Town FC,Brighton & Hove Albion FC,4,0,1
371,Fulham FC,Everton FC,0,0,3
372,Nottingham Forest FC,Arsenal FC,1,2,2
373,Liverpool FC,Chelsea FC,4,1,1
374,Tottenham Hotspur FC,Brentford FC,3,2,1
375,Manchester City FC,Burnley FC,3,1,1
376,Wolverhampton Wanderers FC,Manchester United FC,3,4,2
377,West Ham United FC,AFC Bournemouth,1,1,3
378,Sheffield United FC,Aston Villa FC,0,5,2
379,Newcastle United FC,Luton Town FC,4,4,3
380,Burnley FC,Fulham FC,2,2,3
381,Brighton & Hove Albion FC,Crystal Palace FC,4,1,1
382,Everton FC,Tottenham Hotspur FC,2,2,3
383,Arsenal FC,Liverpool FC,3,1,1
384,Manchester United FC,West Ham United FC,3,0,1
385,Chelsea FC,Wolverhampton Wanderers FC,2,4,2
386,AFC Bournemouth,Nottingham Forest FC,1,1,3
387,Brentford FC,Manchester City FC,1,3,2
388,Nottingham Forest FC,Newcastle United FC,2,3,2
389,Wolverhampton Wanderers FC,Brentford FC,0,2,2
390,Tottenham Hotspur FC,Brighton & Hove Albion FC,2,1,1
391,Luton Town FC,Sheffield United FC,1,3,2
392,Liverpool FC,Burnley FC,3,1,1
393,Fulham FC,AFC Bournemouth,3,1,1
394,Manchester City FC,Everton FC,2,0,1
395,Aston Villa FC,Manchester United FC,1,2,2
396,West Ham United FC,Arsenal FC,0,6,2
397,Crystal Palace FC,Chelsea FC,1,3,2
398,Manchester City FC,Chelsea FC,1,1,3
399,Tottenham Hotspur FC,Wolverhampton Wanderers FC,1,2,2
400,Nottingham Forest FC,West Ham United FC,2,0,1
401,Newcastle United FC,AFC Bournemouth,2,2,3
402,Fulham FC,Aston Villa FC,1,2,2
403,Burnley FC,Arsenal FC,0,5,2
404,Brentford FC,Liverpool FC,1,4,2
405,Luton Town FC,Manchester United FC,1,2,2
406,Sheffield United FC,Brighton & Hove Albion FC,0,5,2
407,Everton FC,Crystal Palace FC,1,1,3
408,Manchester City FC,Brentford FC,1,0,1
409,Liverpool FC,Luton Town FC,4,1,1
410,Arsenal FC,Newcastle United FC,4,1,1
411,AFC Bournemouth,Manchester City FC,0,1,2
412,Manchester United FC,Fulham FC,1,2,2
413,Crystal Palace FC,Burnley FC,3,0,1
414,Brighton & Hove Albion FC,Everton FC,1,1,3
415,Aston Villa FC,Nottingham Forest FC,4,2,1
416,Wolverhampton Wanderers FC,Sheffield United FC,1,0,1
417,West Ham United FC,Brentford FC,4,2,1
418,Luton Town FC,Aston Villa FC,2,3,2
419,Tottenham Hotspur FC,Crystal Palace FC,3,1,1
420,Nottingham Forest FC,Liverpool FC,0,1,2
421,Fulham FC,Brighton & Hove Albion FC,3,0,1
422,Everton FC,West Ham United FC,1,3,2
423,Brentford FC,Chelsea FC,2,2,3
424,Burnley FC,AFC Bournemouth,0,2,2
